id,original_url,source_page,original_filename,local_path,size_bytes,format,category,classification,language_context,alt_text,visual_subject,current_usage,rights_or_provenance_note,replacement_strategy,replacement_asset,status
CBOS-AST-0001,https://cbos.gov.sd/sites/all/themes/cbos/logo.png,https://cbos.gov.sd/ar,logo.png,cbos-source-assets/original/other/other_001_logo.png,70096,png,other,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,الرئيسية,logo.png,ar_home,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0002,https://cbos.gov.sd/sites/default/files/styles/home_page_slider/public/StratigicPlanning26-2030.png?itok=lq7eA-NX,https://cbos.gov.sd/ar,StratigicPlanning26-2030.png,cbos-source-assets/original/other/other_002_StratigicPlanning26-2030.png,636142,png,other,CATEGORY 2 — EDITORIAL / ATMOSPHERIC,ar,,StratigicPlanning26 2030.png,ar_home,Central Bank of Sudan Official Website Public Asset,REVIEW,,REVIEW
CBOS-AST-0003,https://cbos.gov.sd/sites/default/files/styles/home_page_slider/public/anniversary66.jpg?itok=ggsTuFt-,https://cbos.gov.sd/ar,anniversary66.jpg,cbos-source-assets/original/homepage/homepage_003_anniversary66.jpg,429170,jpg,homepage,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,anniversary66.jpg,ar_home,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0004,https://cbos.gov.sd/sites/default/files/styles/home_page_slider/public/2000front.jpg?itok=MABsb3An,https://cbos.gov.sd/ar,2000front.jpg,cbos-source-assets/original/currency/currency_004_2000front.jpg,433262,jpg,currency,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,2000front.jpg,ar_home,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0005,https://cbos.gov.sd/sites/default/files/styles/home_page_slider/public/500-front1_resized.jpg?itok=kmhq1-uJ,https://cbos.gov.sd/ar,500-front1_resized.jpg,cbos-source-assets/original/currency/currency_005_500-front1_resized.jpg,471229,jpg,currency,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,500 front1 resized.jpg,ar_home,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0006,https://cbos.gov.sd/sites/default/files/governor_home_page_final.png,https://cbos.gov.sd/ar,governor_home_page_final.png,cbos-source-assets/original/leadership/leadership_006_governor_home_page_final.png,1356090,png,leadership,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,governor home page final.png,ar_home,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0007,https://cbos.gov.sd/sites/default/files/headquarter.png,https://cbos.gov.sd/ar,headquarter.png,cbos-source-assets/original/buildings/buildings_007_headquarter.png,2258313,png,buildings,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,headquarter.png,ar_home,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0008,https://cbos.gov.sd/sites/default/files/home-page_1.jpg,https://cbos.gov.sd/ar,home-page_1.jpg,cbos-source-assets/original/homepage/homepage_008_home-page_1.jpg,33613,jpg,homepage,CATEGORY 1 — OFFICIAL / DOCUMENTARY ASSET,ar,,home page 1.jpg,ar_home,Central Bank of Sudan Official Website Public Asset,PRESERVE,,PRESERVE
CBOS-AST-0009,https://cbos.gov.sd/sites/default/files/Ramadan%20Kareem02.jpg,https://cbos.gov.sd/ar,Ramadan%20Kareem02.jpg,cbos-source-assets/original/other/other_009_Ramadan%20Kareem02.jpg,35753,jpg,other,CATEGORY 2 — EDITORIAL / ATMOSPHERIC,ar,,Ramadan%20Kareem02.jpg,ar_home,Central Bank of Sudan Official Website Public Asset,REVIEW,,REVIEW
CBOS-AST-0010,https://cbos.gov.sd/sites/default/files/styles/news_front_257_x_160/public/%D8%A7%D9%84%D8%B4%D8%B9%D8%A7%D8%B1%20%D8%A7%D8%B2%D8%B1%D9%82_14.jpg?itok=KgAuSPRZ,https://cbos.gov.sd/ar,%D8%A7%D9%84%D8%B4%D8%B9%D8%A7%D8%B1%20%D8%A7%D8%B2%D8%B1%D9%82_14.jpg,cbos-source-assets/original/other/other_010_%D8%A7%D9%84%D8%B4%D8%B9%D8%A7%D8%B1%20%D8%A7%D8%B2%D8%B1%D9%82_14.jpg,52772,jpg,other,CATEGORY 2 — EDITORIAL / ATMOSPHERIC,ar,,%D8%A7%D9%84%D8%B4%D8%B9%D8%A7%D8%B1%20%D8%A7%D8%B2%D8%B1%D9%82 14.jpg,ar_home,Central Bank of Sudan Official Website Public Asset,REVIEW,,REVIEW
